attendancePercentage,quizAverage,assignmentAverage,internalMarks,riskLevel
80,75,75,22,MEDIUM
86,97,94,27,LOW
95,95,99,29,LOW
66,69,75,22,MEDIUM
87,95,99,26,LOW
51,38,43,13,HIGH
91,86,92,27,LOW
97,100,100,28,LOW
50,61,48,16,HIGH
72,67,80,20,MEDIUM
88,82,86,27,LOW
85,72,89,23,MEDIUM
82,86,82,27,LOW
82,89,80,27,LOW
74,65,70,20,MEDIUM
76,72,70,23,MEDIUM
92,90,92,28,LOW
47,53,45,14,HIGH
61,64,62,19,MEDIUM
96,45,49,16,MEDIUM
44,47,52,14,HIGH
82,88,86,27,LOW
69,72,78,22,MEDIUM
70,78,74,22,MEDIUM
80,76,78,24,MEDIUM
97,91,88,27,LOW
93,94,100,30,LOW
68,82,68,20,MEDIUM
47,40,54,15,HIGH
83,90,85,27,LOW
66,75,78,20,MEDIUM
54,49,58,17,HIGH
52,59,55,17,HIGH
89,99,93,29,LOW
84,90,88,28,LOW
51,69,60,18,HIGH
53,57,52,15,HIGH
75,62,82,22,MEDIUM
95,88,96,29,LOW
92,97,87,28,LOW
97,87,90,27,LOW
94,93,87,26,LOW
87,81,85,24,LOW
98,96,95,27,LOW
88,71,84,27,LOW
70,72,80,20,MEDIUM
72,64,67,20,MEDIUM
48,42,48,14,HIGH
82,85,73,24,MEDIUM
83,88,84,26,LOW
68,69,71,23,MEDIUM
89,88,82,24,LOW
57,53,52,16,HIGH
97,90,87,24,LOW
99,100,100,30,LOW
49,54,53,18,HIGH
65,74,70,21,MEDIUM
74,80,78,24,MEDIUM
89,81,85,27,LOW
96,90,92,28,LOW
69,71,71,20,MEDIUM
57,57,59,15,HIGH
76,73,72,24,MEDIUM
74,80,79,23,MEDIUM
93,100,85,28,LOW
93,97,89,26,LOW
45,51,51,15,HIGH
85,84,83,28,LOW
69,84,76,22,MEDIUM
40,38,39,10,HIGH
67,66,71,21,MEDIUM
82,74,83,25,MEDIUM
80,66,77,23,MEDIUM
43,44,45,14,HIGH
58,55,56,16,HIGH
62,70,68,21,MEDIUM
42,51,39,14,HIGH
76,71,79,23,MEDIUM
79,83,75,22,MEDIUM
86,98,87,27,LOW
75,76,58,20,MEDIUM
88,91,94,26,LOW
92,88,83,27,LOW
56,51,63,17,HIGH
86,72,59,21,MEDIUM
56,63,61,19,HIGH
92,82,94,29,LOW
74,71,71,20,MEDIUM
70,74,74,21,MEDIUM
59,54,64,17,HIGH
40,45,57,12,HIGH
73,62,58,21,MEDIUM
52,47,51,16,HIGH
95,99,95,27,LOW
51,33,47,12,HIGH
92,95,86,28,LOW
64,68,71,21,MEDIUM
83,66,68,19,MEDIUM
81,80,91,26,LOW
61,64,75,22,MEDIUM
40,35,45,14,HIGH
80,75,73,24,MEDIUM
40,32,43,13,HIGH
89,94,92,28,LOW
90,100,94,28,LOW
51,48,65,17,HIGH
67,70,71,23,MEDIUM
77,87,83,27,LOW
50,51,56,16,HIGH
60,69,62,18,MEDIUM
85,85,96,26,LOW
87,94,100,28,LOW
77,67,83,23,MEDIUM
93,93,100,30,LOW
71,71,75,23,MEDIUM
93,94,93,27,LOW
78,68,73,22,MEDIUM
96,93,93,28,LOW
95,89,100,27,LOW
51,58,59,17,HIGH
91,100,99,30,LOW
73,70,80,22,MEDIUM
58,52,54,15,HIGH
52,64,61,16,HIGH
85,85,89,28,LOW
91,81,87,27,LOW
60,51,69,19,HIGH
53,58,56,19,HIGH
97,100,100,28,LOW
88,95,90,26,LOW
81,82,82,25,LOW
81,74,79,23,MEDIUM
44,47,49,16,HIGH
71,71,64,23,MEDIUM
57,52,53,14,HIGH
94,84,98,27,LOW
86,85,92,27,LOW
76,72,70,22,MEDIUM
81,84,84,24,MEDIUM
85,86,87,26,LOW
69,75,71,20,MEDIUM
78,74,76,17,MEDIUM
94,94,99,29,LOW
84,83,85,24,LOW
76,85,82,23,MEDIUM
65,70,74,18,MEDIUM
80,80,72,22,MEDIUM
87,87,91,26,LOW
95,94,91,27,LOW
78,74,77,22,MEDIUM
49,47,39,13,HIGH
74,81,80,23,MEDIUM
82,84,93,26,LOW
68,66,66,22,MEDIUM
76,72,63,21,MEDIUM
79,75,64,19,MEDIUM
68,69,79,20,MEDIUM
79,65,70,20,MEDIUM
81,61,65,21,MEDIUM
81,72,72,17,MEDIUM
92,87,95,27,LOW
80,76,81,22,MEDIUM
72,64,76,22,MEDIUM
54,57,60,16,HIGH
96,100,98,29,LOW
73,77,74,21,MEDIUM
84,86,93,27,LOW
88,96,92,27,LOW
85,92,89,26,LOW
84,69,69,20,MEDIUM
89,91,100,29,LOW
61,89,96,28,LOW
90,93,87,25,LOW
89,82,97,27,LOW
100,88,91,27,LOW
93,95,86,28,LOW
96,56,53,15,MEDIUM
72,65,67,18,MEDIUM
91,83,84,27,LOW
93,93,96,29,LOW
67,71,67,20,MEDIUM
43,48,54,16,HIGH
96,49,54,16,MEDIUM
88,87,92,25,LOW
93,84,94,27,LOW
90,82,75,25,LOW
40,43,38,13,HIGH
49,47,52,11,HIGH
92,83,89,29,LOW
95,85,83,27,LOW
71,76,79,22,MEDIUM
72,65,63,20,MEDIUM
50,44,54,15,HIGH
100,98,100,30,LOW
75,84,84,26,LOW
84,88,83,25,LOW
96,90,91,29,LOW
92,86,90,27,LOW
100,93,96,27,LOW
91,94,91,27,LOW
70,68,59,21,MEDIUM
68,68,64,19,MEDIUM
56,49,52,15,HIGH
81,93,86,27,LOW
53,53,60,16,HIGH
76,75,71,21,MEDIUM
85,88,85,27,LOW
65,68,74,21,MEDIUM
99,99,96,28,LOW
46,53,60,14,HIGH
90,87,94,28,LOW
75,66,62,22,MEDIUM
51,46,46,15,HIGH
82,86,84,24,LOW
97,95,100,29,LOW
93,95,96,24,LOW
93,88,95,28,LOW
85,82,91,24,LOW
60,67,60,19,MEDIUM
46,47,51,17,HIGH
79,80,95,24,LOW
76,74,70,24,MEDIUM
50,41,50,15,HIGH
73,78,70,22,MEDIUM
90,83,88,25,LOW
85,92,92,25,LOW
49,43,47,14,HIGH
53,52,53,17,HIGH
92,93,93,27,LOW
40,31,49,13,HIGH
67,65,63,22,MEDIUM
61,57,49,18,HIGH
82,88,81,24,LOW
49,40,39,13,HIGH
72,83,68,21,MEDIUM
94,100,87,30,LOW
45,39,44,14,HIGH
82,86,85,27,LOW
71,73,81,21,MEDIUM
97,96,96,27,LOW
87,82,93,27,LOW
76,65,72,22,MEDIUM
91,95,94,30,LOW
69,64,66,21,MEDIUM
87,77,80,25,LOW
56,48,59,14,HIGH
48,38,48,16,HIGH
68,74,71,21,MEDIUM
63,70,62,21,MEDIUM
87,93,84,27,LOW
52,57,50,16,HIGH
57,56,53,15,HIGH
93,95,93,26,LOW
93,86,88,28,LOW
78,69,70,15,MEDIUM
67,61,67,20,MEDIUM
90,90,94,28,LOW
66,74,67,19,MEDIUM
87,87,86,27,LOW
67,69,66,21,MEDIUM
91,93,98,25,LOW
43,40,39,14,HIGH
50,51,49,17,HIGH
72,76,77,23,MEDIUM
81,79,76,24,MEDIUM
44,48,44,14,HIGH
94,92,88,25,LOW
80,62,71,19,MEDIUM
46,45,54,15,HIGH
74,72,81,22,MEDIUM
89,95,89,24,LOW
76,66,69,23,MEDIUM
56,70,63,18,HIGH
96,90,83,25,LOW
74,59,74,20,MEDIUM
53,37,58,15,HIGH
58,60,51,17,HIGH
83,84,83,23,MEDIUM
52,42,49,16,HIGH
73,75,69,22,MEDIUM
79,74,70,23,MEDIUM
96,100,89,30,LOW
88,93,88,27,LOW
86,91,80,25,LOW
87,81,89,26,LOW
61,86,94,26,MEDIUM
96,99,95,28,LOW
47,40,39,14,HIGH
85,81,87,26,LOW
100,93,98,29,LOW
76,87,82,24,MEDIUM
77,80,80,23,MEDIUM
74,73,70,21,MEDIUM
83,74,82,23,MEDIUM
86,87,90,25,LOW
51,49,52,15,HIGH
53,54,55,17,HIGH
87,86,83,27,LOW
73,79,66,22,MEDIUM
87,80,75,27,LOW
95,96,86,27,LOW
95,94,98,27,LOW
79,85,81,23,MEDIUM
86,92,96,26,LOW
42,42,46,14,HIGH
83,81,90,25,LOW
86,80,94,25,LOW
93,99,87,27,LOW
57,55,40,16,HIGH
84,88,78,25,LOW
80,70,78,20,MEDIUM
92,83,83,27,LOW
93,85,91,26,LOW
96,99,98,30,LOW
81,91,84,26,LOW
40,46,47,11,HIGH
73,71,73,21,MEDIUM
50,54,52,16,HIGH
73,79,85,25,MEDIUM
54,53,53,16,HIGH
81,85,90,25,LOW
85,91,92,26,LOW
77,84,72,22,MEDIUM
78,63,65,18,MEDIUM
82,87,88,26,LOW
79,79,86,22,MEDIUM
75,67,61,18,MEDIUM
69,87,73,23,MEDIUM
90,84,97,26,LOW
73,72,72,24,MEDIUM
93,97,99,27,LOW
92,96,96,28,LOW
73,64,67,20,MEDIUM
89,97,91,26,LOW
94,90,98,26,LOW
72,58,74,21,MEDIUM
83,80,76,24,MEDIUM
64,59,56,17,HIGH
54,42,52,15,HIGH
81,72,72,23,MEDIUM
95,85,88,25,LOW
92,91,90,27,LOW
90,87,94,26,LOW
76,68,69,18,MEDIUM
45,47,43,14,HIGH
69,68,64,19,MEDIUM
97,92,100,29,LOW
63,68,69,19,MEDIUM
74,76,79,24,MEDIUM
53,56,53,17,HIGH
48,47,41,13,HIGH
74,75,75,23,MEDIUM
92,90,100,27,LOW
81,73,80,23,MEDIUM
48,51,61,17,HIGH
100,97,94,27,LOW
92,99,94,26,LOW
95,93,94,28,LOW
90,92,91,27,LOW
91,83,77,24,LOW
64,65,57,20,MEDIUM
64,73,76,19,MEDIUM
99,100,92,30,LOW
47,43,45,14,HIGH
83,67,68,21,MEDIUM
97,86,95,26,LOW
95,91,94,28,LOW
75,69,58,21,MEDIUM
65,76,70,19,MEDIUM
71,70,67,21,MEDIUM
86,92,98,25,LOW
95,88,91,28,LOW
90,82,91,28,LOW
98,78,100,27,LOW
76,73,74,23,MEDIUM
40,46,50,12,HIGH
54,47,49,15,HIGH
92,93,100,28,LOW
66,73,67,22,MEDIUM
100,94,100,30,LOW
53,54,58,16,HIGH
80,70,80,23,MEDIUM
90,82,85,26,LOW
88,98,96,26,LOW
68,72,71,20,MEDIUM
78,66,75,23,MEDIUM
45,50,43,14,HIGH
48,43,45,14,HIGH
69,69,71,20,MEDIUM
75,69,73,21,MEDIUM
83,70,74,22,MEDIUM
88,82,93,26,LOW
86,91,93,28,LOW
44,47,45,14,HIGH
47,41,53,14,HIGH
94,75,83,27,LOW
80,98,97,26,LOW
78,81,81,21,MEDIUM
60,65,63,18,HIGH
67,66,68,22,MEDIUM
71,64,63,21,MEDIUM
61,72,69,21,MEDIUM
77,84,81,26,LOW
72,80,76,24,MEDIUM
85,92,88,26,LOW
83,83,81,25,LOW
78,73,74,20,MEDIUM
58,54,51,17,HIGH
70,68,73,20,MEDIUM
93,87,97,28,LOW
56,56,60,17,HIGH
91,79,81,27,LOW
78,65,77,19,MEDIUM
77,75,75,23,MEDIUM
93,98,99,28,LOW
78,74,74,18,MEDIUM
72,78,78,22,MEDIUM
97,97,100,27,LOW
78,71,71,17,MEDIUM
74,73,72,21,MEDIUM
80,79,70,22,MEDIUM
96,47,49,15,MEDIUM
71,74,72,21,MEDIUM
60,61,66,20,MEDIUM
79,82,81,24,MEDIUM
71,79,85,21,MEDIUM
83,92,85,25,LOW
70,68,82,23,MEDIUM
96,96,98,26,LOW
82,74,82,22,MEDIUM
85,84,87,27,LOW
72,63,73,19,MEDIUM
88,88,99,25,LOW
76,78,74,25,MEDIUM
69,73,85,22,MEDIUM
78,75,84,23,MEDIUM
89,89,86,27,LOW
70,73,66,20,MEDIUM
87,85,92,25,LOW
100,100,89,30,LOW
73,75,81,23,MEDIUM
75,74,71,23,MEDIUM
92,96,82,26,LOW
73,66,72,20,MEDIUM
69,65,68,21,MEDIUM
84,79,80,24,MEDIUM
63,72,55,19,MEDIUM
96,85,82,27,LOW
87,89,98,28,LOW
90,95,92,26,LOW
42,47,34,13,HIGH
57,54,57,17,HIGH
67,65,65,19,MEDIUM
88,92,91,27,LOW
73,77,72,22,MEDIUM
48,57,58,16,HIGH
83,99,78,26,LOW
78,70,75,22,MEDIUM
95,91,95,28,LOW
48,52,52,15,HIGH
88,91,100,26,LOW
87,90,86,29,LOW
77,84,87,24,MEDIUM
45,46,39,12,HIGH
88,80,80,24,LOW
92,92,86,27,LOW
84,90,78,27,LOW
78,73,69,18,MEDIUM
97,100,94,30,LOW
82,86,85,25,LOW
66,66,57,20,MEDIUM
93,88,91,27,LOW
40,32,41,11,HIGH
84,97,100,26,LOW
95,94,100,28,LOW
72,78,76,23,MEDIUM
42,48,47,14,HIGH
85,81,89,25,LOW
85,89,89,25,LOW
94,94,100,30,LOW
43,49,49,11,HIGH
100,91,98,29,LOW
74,80,82,24,MEDIUM
61,62,66,18,HIGH
82,74,87,25,MEDIUM
91,91,91,26,LOW
68,72,65,22,MEDIUM
85,98,98,26,LOW
77,73,67,21,MEDIUM
84,83,83,27,LOW
77,72,70,23,MEDIUM
82,65,72,19,MEDIUM
77,67,77,23,MEDIUM
70,61,67,20,MEDIUM
79,73,81,27,MEDIUM
49,51,54,17,HIGH
98,96,92,28,LOW
53,68,72,19,MEDIUM
97,99,89,27,LOW
51,48,46,12,HIGH
84,82,79,24,MEDIUM
85,88,79,26,LOW
88,91,89,26,LOW
74,70,76,21,MEDIUM
73,70,79,18,MEDIUM
52,50,50,16,HIGH
78,83,80,23,MEDIUM
97,89,90,28,LOW
94,96,93,29,LOW
79,69,77,24,MEDIUM
76,81,73,23,MEDIUM
55,56,50,15,HIGH
100,97,99,30,LOW
81,75,78,21,MEDIUM
74,72,64,22,MEDIUM
82,85,89,27,LOW
51,54,48,16,HIGH
88,91,87,25,LOW
96,85,92,26,LOW
81,86,94,26,LOW
80,73,71,22,MEDIUM
73,66,71,22,MEDIUM
96,96,92,29,LOW
87,86,99,26,LOW
100,90,96,27,LOW
41,44,54,12,HIGH
88,87,84,25,LOW
48,42,48,13,HIGH
97,97,99,27,LOW
40,42,42,13,HIGH
62,72,68,20,MEDIUM
52,47,63,16,HIGH
62,62,56,20,MEDIUM
82,94,93,23,LOW
86,87,84,27,LOW
86,89,86,27,LOW
93,95,85,27,LOW
94,90,100,29,LOW
45,40,43,13,HIGH
82,83,91,24,LOW
40,42,43,12,HIGH
79,85,83,22,MEDIUM
72,64,71,20,MEDIUM
63,72,63,20,MEDIUM
90,100,100,27,LOW
48,42,43,15,HIGH
97,87,99,29,LOW
85,85,93,29,LOW
92,97,96,29,LOW
95,100,92,27,LOW
56,60,54,16,HIGH
49,52,64,17,HIGH
96,87,96,27,LOW
84,73,75,25,MEDIUM
92,96,94,28,LOW
93,46,51,14,HIGH
76,73,61,21,MEDIUM
97,90,84,28,LOW
93,84,94,28,LOW
80,67,61,23,MEDIUM
84,96,95,29,LOW
51,45,47,15,HIGH
95,100,95,28,LOW
89,87,85,26,LOW
92,81,84,25,LOW
74,63,80,18,MEDIUM
87,83,92,28,LOW
89,82,86,26,LOW
90,93,85,28,LOW
56,55,43,16,HIGH
81,84,94,25,LOW
89,84,89,27,LOW
69,72,68,22,MEDIUM
83,78,78,24,MEDIUM
61,54,53,17,HIGH
89,86,91,27,LOW
70,75,67,22,MEDIUM
94,87,89,27,LOW
92,98,98,26,LOW
89,83,94,28,LOW
40,41,41,13,HIGH
77,79,81,23,MEDIUM
96,53,52,16,MEDIUM
51,42,44,15,HIGH
87,95,75,26,LOW
88,90,94,25,LOW
63,59,63,18,HIGH
96,95,96,28,LOW
82,87,85,25,LOW
66,78,70,20,MEDIUM
82,88,83,27,LOW
56,64,56,16,HIGH
91,80,86,26,LOW
92,89,94,26,LOW
71,71,71,22,MEDIUM
78,71,73,22,MEDIUM
79,67,67,20,MEDIUM
87,96,90,26,LOW
71,80,83,22,MEDIUM
53,55,54,16,HIGH
83,66,64,19,MEDIUM
75,82,85,22,MEDIUM
40,38,42,10,HIGH
83,84,79,26,LOW
75,82,100,25,LOW
44,50,46,14,HIGH
75,71,80,23,MEDIUM
92,82,85,26,LOW
79,66,70,19,MEDIUM
86,82,88,27,LOW
82,74,89,25,LOW
80,84,72,23,MEDIUM
47,55,42,14,HIGH
96,83,89,29,LOW
69,79,78,22,MEDIUM
89,92,95,28,LOW
70,71,70,19,MEDIUM
87,80,96,26,LOW
76,82,84,25,MEDIUM
90,96,85,28,LOW
45,44,60,17,HIGH
80,76,68,22,MEDIUM
89,89,98,27,LOW
50,41,42,15,HIGH
48,60,60,16,HIGH
92,88,82,27,LOW
84,81,81,23,MEDIUM
62,85,86,27,MEDIUM
69,77,77,23,MEDIUM
65,69,75,22,MEDIUM
94,97,91,28,LOW
88,87,89,28,LOW
94,98,91,26,LOW
87,99,96,30,LOW
92,86,87,26,LOW
82,63,73,22,MEDIUM
62,60,79,19,MEDIUM
94,94,96,29,LOW
83,82,76,24,MEDIUM
81,88,86,26,LOW
57,62,51,17,HIGH
48,46,42,13,HIGH
85,96,90,26,LOW
92,88,88,25,LOW
91,97,75,28,LOW
80,83,85,26,LOW
96,91,93,26,LOW
76,82,69,24,MEDIUM
59,52,56,17,HIGH
95,82,90,27,LOW
68,72,75,21,MEDIUM
82,85,83,22,MEDIUM
90,91,100,28,LOW
94,83,79,27,LOW
78,85,85,27,LOW
75,83,74,23,MEDIUM
97,91,96,27,LOW
93,96,87,26,LOW
74,75,83,23,MEDIUM
45,43,52,16,HIGH
94,98,100,28,LOW
76,65,73,21,MEDIUM
73,76,71,20,MEDIUM
83,80,90,25,LOW
54,53,57,16,HIGH
100,97,94,30,LOW
69,66,72,20,MEDIUM
99,94,92,28,LOW
82,83,79,26,LOW
79,73,65,17,MEDIUM
49,60,54,17,HIGH
40,28,37,10,HIGH
87,86,81,27,LOW
53,39,45,14,HIGH
79,67,70,20,MEDIUM
72,68,77,22,MEDIUM
100,88,96,28,LOW
87,96,90,28,LOW
99,93,96,28,LOW
77,64,71,20,MEDIUM
82,73,80,21,MEDIUM
95,81,87,27,LOW
89,84,87,26,LOW
86,81,83,27,LOW
70,73,66,21,MEDIUM
67,67,67,18,MEDIUM
92,100,92,27,LOW
76,69,73,22,MEDIUM
74,75,70,19,MEDIUM
100,100,100,30,LOW
73,68,74,22,MEDIUM
47,48,52,14,HIGH
76,70,69,19,MEDIUM
83,83,91,25,LOW
59,54,61,14,HIGH
92,96,90,29,LOW
83,80,75,25,MEDIUM
83,66,63,20,MEDIUM
74,83,73,23,MEDIUM
70,72,72,22,MEDIUM
92,91,95,28,LOW
73,64,70,22,MEDIUM
83,63,64,18,MEDIUM
81,78,76,21,MEDIUM
86,87,91,27,LOW
97,100,87,30,LOW
79,85,85,23,MEDIUM
85,81,77,25,LOW
89,82,93,29,LOW
42,42,39,15,HIGH
92,94,91,29,LOW
85,86,78,25,LOW
78,75,68,20,MEDIUM
94,96,99,27,LOW
68,70,71,21,MEDIUM
90,97,100,28,LOW
65,69,68,21,MEDIUM
75,65,79,20,MEDIUM
93,96,92,27,LOW
63,69,70,22,MEDIUM
47,45,58,15,HIGH
100,96,95,29,LOW
76,70,76,21,MEDIUM
84,88,90,23,LOW
77,75,72,24,MEDIUM
93,86,94,28,LOW
73,76,79,22,MEDIUM
87,91,89,28,LOW
99,89,84,28,LOW
90,79,88,27,LOW
96,100,96,29,LOW
86,88,78,24,LOW
75,76,79,21,MEDIUM
82,96,90,25,LOW
66,82,70,19,MEDIUM
97,95,92,28,LOW
89,87,96,27,LOW
72,68,72,22,MEDIUM
76,81,83,24,MEDIUM
83,64,63,20,MEDIUM
89,83,89,26,LOW
68,59,72,21,MEDIUM
50,54,54,15,HIGH
41,38,39,12,HIGH
100,100,100,27,LOW
83,89,91,24,LOW
79,71,74,20,MEDIUM
86,79,80,26,LOW
80,71,71,18,MEDIUM
64,72,66,20,MEDIUM
56,90,91,26,MEDIUM
86,86,89,26,LOW
57,58,52,16,HIGH
69,62,61,19,MEDIUM
56,47,54,15,HIGH
50,52,57,17,HIGH
87,92,98,24,LOW
87,96,93,28,LOW
76,75,67,22,MEDIUM
68,61,68,19,MEDIUM
40,43,42,14,HIGH
86,84,89,24,LOW
84,94,91,29,LOW
96,92,100,29,LOW
78,76,79,25,MEDIUM
100,100,99,30,LOW
55,55,57,18,HIGH
89,85,99,27,LOW
100,100,99,30,LOW
69,65,66,21,MEDIUM
72,64,59,18,MEDIUM
90,89,83,24,LOW
82,82,88,27,LOW
89,78,83,25,LOW
94,84,100,29,LOW
77,63,72,23,MEDIUM
90,92,94,26,LOW
98,83,98,28,LOW
78,64,73,19,MEDIUM
50,50,47,16,HIGH
79,78,79,24,MEDIUM
86,94,91,27,LOW
64,66,64,18,MEDIUM
95,91,92,30,LOW
100,94,100,29,LOW
41,51,44,16,HIGH
49,50,53,15,HIGH
77,69,64,22,MEDIUM
40,44,48,13,HIGH
50,46,43,14,HIGH
94,100,100,29,LOW
59,62,58,17,HIGH
100,100,96,30,LOW
95,94,88,26,LOW
54,56,67,16,HIGH
93,90,89,27,LOW
88,88,85,26,LOW
74,69,79,23,MEDIUM
67,71,68,21,MEDIUM
88,100,92,28,LOW
53,57,46,16,HIGH
70,72,68,23,MEDIUM
73,61,72,19,MEDIUM
81,83,80,22,MEDIUM
68,82,67,23,MEDIUM
80,70,69,22,MEDIUM
83,99,90,28,LOW
49,48,49,15,HIGH
84,89,77,28,LOW
45,60,47,15,HIGH
52,52,45,14,HIGH
91,96,87,28,LOW
55,58,51,15,HIGH
77,75,70,18,MEDIUM
75,72,72,21,MEDIUM
44,50,47,16,HIGH
91,91,94,26,LOW
84,93,86,25,LOW
78,87,85,26,LOW
90,92,90,27,LOW
93,92,87,27,LOW
75,87,82,24,MEDIUM
93,89,86,28,LOW
83,89,91,27,LOW
100,100,94,27,LOW
77,74,79,23,MEDIUM
61,57,61,18,HIGH
93,89,100,27,LOW
78,77,78,24,MEDIUM
56,87,93,28,MEDIUM
69,57,62,21,MEDIUM
89,91,92,26,LOW
88,83,94,26,LOW
80,65,66,19,MEDIUM
85,81,87,25,LOW
99,90,94,28,LOW
55,56,64,19,HIGH
92,95,93,26,LOW
59,52,68,19,HIGH
91,93,87,26,LOW
88,92,93,26,LOW
78,68,69,16,MEDIUM
76,68,70,19,MEDIUM
97,90,99,27,LOW
99,92,91,28,LOW
85,93,92,27,LOW
87,96,96,29,LOW
89,96,94,25,LOW
97,96,86,29,LOW
76,68,67,20,MEDIUM
54,54,49,16,HIGH
88,80,90,25,LOW
85,80,82,26,LOW
51,55,55,15,HIGH
60,89,90,27,MEDIUM
40,49,44,14,HIGH
75,67,69,17,MEDIUM
91,97,98,27,LOW
75,86,88,25,LOW
73,74,79,23,MEDIUM
68,70,70,19,MEDIUM
75,71,77,23,MEDIUM
81,69,67,19,MEDIUM
86,86,88,26,LOW
94,93,87,26,LOW
94,99,98,29,LOW
93,93,93,28,LOW
90,83,92,27,LOW
78,66,68,17,MEDIUM
72,69,80,24,MEDIUM
65,60,56,20,MEDIUM
75,72,62,21,MEDIUM
93,83,82,27,LOW
52,48,53,12,HIGH
92,100,98,28,LOW
77,67,72,17,MEDIUM
97,51,53,15,MEDIUM
54,51,63,18,HIGH
93,85,99,28,LOW
69,70,69,21,MEDIUM
68,70,81,21,MEDIUM
78,85,86,23,MEDIUM
69,79,82,23,MEDIUM
96,96,97,30,LOW
65,68,65,21,MEDIUM
72,81,65,22,MEDIUM
73,67,77,21,MEDIUM
72,93,90,24,LOW
73,64,77,22,MEDIUM
88,83,73,27,LOW
88,94,92,28,LOW
58,62,51,17,HIGH
80,72,66,20,MEDIUM
80,82,82,24,MEDIUM
74,78,79,23,MEDIUM
71,78,71,20,MEDIUM
43,37,39,12,HIGH
79,83,87,25,LOW
91,87,82,25,LOW
78,79,77,25,MEDIUM
78,65,71,21,MEDIUM
89,86,92,27,LOW
52,50,51,16,HIGH
47,45,44,13,HIGH
44,49,42,13,HIGH
89,94,81,27,LOW
58,56,59,17,HIGH
73,67,71,18,MEDIUM
87,81,81,28,LOW
87,86,85,26,LOW
58,52,52,17,HIGH
55,53,45,15,HIGH
44,41,47,11,HIGH
48,46,50,13,HIGH
80,82,84,27,LOW
79,70,67,21,MEDIUM
79,80,79,25,MEDIUM
81,72,73,24,MEDIUM
93,89,83,25,LOW
64,68,71,21,MEDIUM
85,80,76,26,LOW
60,53,55,17,HIGH
69,70,76,22,MEDIUM
64,67,56,21,MEDIUM
77,67,67,19,MEDIUM
79,73,68,22,MEDIUM
90,91,94,25,LOW
51,51,46,17,HIGH
81,69,69,21,MEDIUM
67,74,51,20,MEDIUM
75,79,77,24,MEDIUM
90,99,99,29,LOW
76,81,78,21,MEDIUM
88,92,95,25,LOW
43,45,41,15,HIGH
81,87,94,27,LOW
80,82,80,24,MEDIUM
42,44,40,14,HIGH
66,68,72,21,MEDIUM
71,76,85,23,MEDIUM
61,52,68,18,HIGH
99,99,98,29,LOW
95,99,92,30,LOW
81,86,79,24,MEDIUM
51,64,62,16,HIGH
40,35,35,10,HIGH
71,70,79,21,MEDIUM
91,91,82,28,LOW
89,96,93,26,LOW
73,77,71,20,MEDIUM
64,61,60,19,MEDIUM
40,50,51,15,HIGH
89,85,93,24,LOW
89,87,89,26,LOW
88,89,91,27,LOW
82,91,90,24,LOW
69,75,71,22,MEDIUM
51,48,58,16,HIGH
51,49,56,15,HIGH
54,51,47,16,HIGH
78,64,68,19,MEDIUM
65,72,74,22,MEDIUM
89,95,94,28,LOW
75,74,67,20,MEDIUM
77,71,81,23,MEDIUM
70,69,79,23,MEDIUM
93,90,93,30,LOW
54,61,62,21,HIGH
96,92,100,30,LOW
54,55,57,14,HIGH
86,87,85,27,LOW
82,67,82,23,MEDIUM
84,89,91,25,LOW
72,68,65,22,MEDIUM
74,79,68,22,MEDIUM
63,54,69,20,MEDIUM
54,66,50,16,HIGH
53,49,52,15,HIGH
88,91,94,27,LOW
88,89,93,27,LOW
58,51,56,17,HIGH
90,97,95,28,LOW
96,99,100,28,LOW
95,92,89,29,LOW
94,89,99,25,LOW
88,100,87,26,LOW
55,46,59,15,HIGH
87,80,89,27,LOW
96,91,96,29,LOW
83,90,81,26,LOW
89,83,82,26,LOW
81,67,69,20,MEDIUM
93,47,48,15,HIGH
78,78,83,22,MEDIUM
83,95,88,26,LOW
82,90,83,26,LOW
100,96,97,30,LOW
77,64,64,20,MEDIUM
70,67,72,22,MEDIUM
40,40,41,11,HIGH
83,84,88,26,LOW
85,90,88,27,LOW
58,85,86,28,MEDIUM
58,52,63,16,HIGH
74,77,70,22,MEDIUM
100,100,100,30,LOW
87,81,81,25,LOW
51,52,49,14,HIGH
82,81,70,24,MEDIUM
80,86,92,27,LOW
75,75,77,22,MEDIUM
86,87,87,29,LOW
89,91,89,27,LOW
83,82,94,25,LOW
72,79,71,21,MEDIUM
71,68,74,22,MEDIUM
82,61,69,17,MEDIUM
74,72,85,24,MEDIUM
48,53,45,15,HIGH
61,53,58,20,HIGH
97,93,97,29,LOW
89,97,85,26,LOW
74,67,66,23,MEDIUM
89,80,98,27,LOW
78,91,83,24,LOW
83,87,88,27,LOW
93,85,100,30,LOW
97,83,92,27,LOW
83,94,89,27,LOW
90,94,96,28,LOW
89,91,91,27,LOW
54,42,50,13,HIGH
81,78,82,25,MEDIUM
94,92,94,29,LOW
63,72,66,22,MEDIUM
96,99,100,29,LOW
57,58,57,18,HIGH
80,62,70,15,MEDIUM
93,95,90,27,LOW
90,84,76,25,LOW
90,84,80,27,LOW
71,71,78,23,MEDIUM
99,48,49,14,MEDIUM
88,87,89,25,LOW
70,73,77,22,MEDIUM
66,69,73,20,MEDIUM
85,100,97,28,LOW
98,100,94,27,LOW
84,66,64,16,MEDIUM
92,87,85,25,LOW
